X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
140.102154,38.448396,358,Yamagata,Japan,2020/12/12 01:27:11+00,38.448396,140.102154,218,138,1,79,,,"Yamagata, Japan"
131.573293,34.20119,359,Yamaguchi,Japan,2020/12/12 01:27:11+00,34.20119,131.573293,429,367,2,60,,,"Yamaguchi, Japan"
138.611489,35.612364,360,Yamanashi,Japan,2020/12/12 01:27:11+00,35.612364,138.611489,446,341,8,97,,,"Yamanashi, Japan"
36.51,31.24,361,,Jordan,2020/12/12 01:27:11+00,31.24,36.51,255459,209746,3286,42427,,,Jordan
66.9237,48.0196,362,,Kazakhstan,2020/12/12 01:27:11+00,48.0196,66.9237,183630,155338,2550,25742,,,Kazakhstan
37.9062,-0.0236,363,,Kenya,2020/12/12 01:27:11+00,-0.0236,37.9062,90978,71579,1582,17817,,,Kenya
127.766922,35.907757,364,,"Korea, South",2020/12/12 01:27:11+00,35.907757,127.766922,40786,31157,572,9057,,,"Korea, South"
20.902977,42.602636,365,,Kosovo,2020/12/12 01:27:11+00,42.602636,20.902977,45594,32498,1174,11922,,,Kosovo
47.481766,29.31166,366,,Kuwait,2020/12/12 01:27:11+00,29.31166,47.481766,145789,141569,910,3310,,,Kuwait
74.766098,41.20438,367,,Kyrgyzstan,2020/12/12 01:27:11+00,41.20438,74.766098,76718,69341,1307,6070,,,Kyrgyzstan
102.495496,19.85627,368,,Laos,2020/12/12 01:27:11+00,19.85627,102.495496,41,33,0,8,,,Laos
24.6032,56.8796,369,,Latvia,2020/12/12 01:27:11+00,56.8796,24.6032,24386,1866,319,22201,,,Latvia
35.8623,33.8547,370,,Lebanon,2020/12/12 01:27:11+00,33.8547,35.8623,143705,97647,1182,44876,,,Lebanon
28.2336,-29.61,371,,Lesotho,2020/12/12 01:27:11+00,-29.61,28.2336,2214,1302,44,868,,,Lesotho
-9.429499,6.428055,372,,Liberia,2020/12/12 01:27:11+00,6.428055,-9.429499,1676,1358,83,235,,,Liberia
17.228331,26.3351,373,,Libya,2020/12/12 01:27:11+00,26.3351,17.228331,89880,59839,1278,28763,,,Libya
9.55,47.14,374,,Liechtenstein,2020/12/12 01:27:11+00,47.14,9.55,1466,1296,20,150,,,Liechtenstein
23.8813,55.1694,375,,Lithuania,2020/12/12 01:27:11+00,55.1694,23.8813,86949,36168,764,50017,,,Lithuania
6.1296,49.8153,376,,Luxembourg,2020/12/12 01:27:11+00,49.8153,6.1296,40755,31678,392,8685,,,Luxembourg
,,377,,MS Zaandam,2020/12/12 01:27:11+00,,,9,7,2,0,,,MS Zaandam
46.869107,-18.766947,378,,Madagascar,2020/12/12 01:27:11+00,-18.766947,46.869107,17473,16927,255,291,,,Madagascar
34.3015,-13.2543,379,,Malawi,2020/12/12 01:27:11+00,-13.2543,34.3015,6055,5490,186,379,,,Malawi
101.975766,4.210484,380,,Malaysia,2020/12/12 01:27:11+00,4.210484,101.975766,80309,67173,402,12734,,,Malaysia
73.2207,3.2028,381,,Maldives,2020/12/12 01:27:11+00,3.2028,73.2207,13326,12640,48,638,,,Maldives
-3.996166,17.570692,382,,Mali,2020/12/12 01:27:11+00,17.570692,-3.996166,5649,3537,185,1927,,,Mali
14.3754,35.9375,383,,Malta,2020/12/12 01:27:11+00,35.9375,14.3754,10980,8935,166,1879,,,Malta
171.1845,7.1315,384,,Marshall Islands,2020/12/12 01:27:11+00,7.1315,171.1845,4,4,0,0,,,Marshall Islands
